a_key_0,a_value_0,a_key_1,a_value_1,a_key_2,a_value_2,a_key_3,a_value_3,a_key_4,a_value_4,a_key_5,a_value_5,a_key_6,a_value_6,a_key_7,a_value_7,a_key_8,a_value_8,a_key_9,a_value_9,a_key_10,a_value_10,a_key_11,a_value_11,a_key_12,a_value_12,a_key_13,a_value_13,a_key_14,a_value_14
Abraham Vigneti delle Dolomiti Blauburgunder IGT Vom Roten Kalk,"

36,00 €                                                
",1404324199997,"
5 - 10 Workdays

",Manufacturer,Abraham Weingut,Red Wine,354441,GTIN,1404324199997,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Maderneto 29, Appiano sulla Strada del Vino (BZ) Alto Adige, Italy",https://weindiele.com/media/image/product/9979/sm/de-rotwein-abraham-weinberg-dolomiten-blauburgunder-igt-vom-roten-kalk.jpg
Niedrist Mitterberg Syrah IGT -Marra-,"

39,00 €                                                
",1404324031761,"
5 - 10 Workdays

",Manufacturer,Ignaz Niedrist,Red Wine,350914,GTIN,1404324031761,Content‍,"
0,75 l",Variety‍,"
Syrah",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Ronco, 5, 39057 Appiano Sulla Strada del Vino BZ",https://weindiele.com/media/image/product/9204/sm/de-rotwein-niedrist-mitterberg-syrah-igt-marra-.jpg
Lentsch Alto Adige Lagrein DOC Morus,"

54,50 €                                                
",1404324192950,"
5 - 10 Workdays

",Manufacturer,H. Lentsch,Red Wine,354211,GTIN,1404324192950,Content‍,"
0,75 l",Variety‍,"
Lagrein ",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Vintage‍,"
2006",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Reichsstraße, 71, 39051 Branzoll, Südtirol",https://weindiele.com/media/image/product/9776/sm/de-rotwein-lentsch-suedtiroler-lagrein-doc-morus.jpg
Lentsch Alto Adige Lagrein DOC Morus,"

52,50 €                                                
",1404324192967,"
5 - 10 Workdays

",Manufacturer,H. Lentsch,Red Wine,354212,GTIN,1404324192967,Content‍,"
0,75 l",Variety‍,"
Lagrein ",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Vintage‍,"
2007",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Reichsstraße, 71, 39051 Branzoll, Südtirol",https://weindiele.com/media/image/product/9777/sm/de-rotwein-lentsch-suedtiroler-lagrein-doc-morus_1.jpg
Neustift Alto Adige Pinot Nero DOC,"

13,90 €                                                
",8025300013002,"
5 - 10 Workdays

",Manufacturer,Neustift Stiftskellerei ,Red Wine,352060,GTIN,8025300013002,Content‍,"
0,75 l",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Manufacturer address‍,"Via Abbazia, 1, 39040 Novacella BZ",https://weindiele.com/media/image/product/9793/sm/neustift-suedtiroler-blauburgunder-doc.jpg
Lentsch Alto Adige Lagrein DOC,"

15,00 €                                                
",1404324192509,"
5 - 10 Workdays

",Manufacturer,H. Lentsch,Red Wine,354197,GTIN,1404324192509,Content‍,"
0,75 l",Variety‍,"
Lagrein ",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Reichsstraße, 71, 39051 Branzoll, Südtirol",https://weindiele.com/media/image/product/9764/sm/lentsch-suedtiroler-lagrein-doc.jpg
Castelfeder Vigneti delle Dolomiti Pinot Nero IGT Mont Mès,"

12,50 €                                                
",1404324178428,"
5 - 10 Workdays

",Manufacturer,Castelfeder,Red Wine,353796,GTIN,1404324178428,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,Via F.-Harpf-Straße 15 – 39040 Kurtinig a. d. Weinstraße/Cortina s.S.d.V.,https://weindiele.com/media/image/product/9261/sm/de-rotwein-castelfeder-weinberg-dolomiten-blauburgunder-igt-mont-mes.jpg
Donà Hartmann Mitterberg Vernatsch IGT Liquid Stone Granito,"

24,50 €                                                
",1404324179012,Notify me when this item is available,Manufacturer,Doná Hartmann,Red Wine,353825,GTIN,1404324179012,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Schiava",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via Casa di Gesù 23, 39057 Cornaiano (BZ), Italia, Alto Adige",https://weindiele.com/media/image/product/9286/sm/de-rotwein-dona-hartmann-mitterberg-vernatsch-igt-liquid-stone-granit.jpg
Glühwein Franzl Red,"

6,30 €                                                
",1404324182692,"
5 - 10 Workdays

",Red Wine,353980,GTIN,1404324182692,Content‍,"
1,5 l",Variety‍,"
Hot Spiced Wine",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,10 Vol. %,https://weindiele.com/media/image/product/9569/sm/de-rotwein-gluehwein-franzl-rot-de-rotweine-gluehwein-franzl-rot.jpg
Baron Longo Vigneti delle Dolomiti Rosso Cab./Merlot IGT Wellenburg,"

30,50 €                                                
",1404324182104,"
5 - 10 Workdays

",Manufacturer,Lacus - Schullian Walter,Red Wine,353949,GTIN,1404324182104,Content‍,"
0,75 l",Variety‍,"
Cuvée Red",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Kaltererhöhe 4, 39052 Caldaro (BZ)",https://weindiele.com/media/image/product/9528/sm/baron-longo-weinberg-dolomiten-rot-cabernet-merlot-igt-wellenburg.jpg
