a_key_0,a_value_0,a_key_1,a_value_1,a_key_2,a_value_2,a_key_3,a_value_3,a_key_4,a_value_4,a_key_5,a_value_5,a_key_6,a_value_6,a_key_7,a_value_7,a_key_8,a_value_8,a_key_9,a_value_9,a_key_10,a_value_10,a_key_11,a_value_11,a_key_12,a_value_12,a_key_13,a_value_13,a_key_14,a_value_14
Niedrist Mitterberg Merlot & Syrah Rosè IGT,"

16,20 €                                                
",1404324196996,"
5 - 10 Workdays

",Manufacturer,Ignaz Niedrist,Rosé,354341,GTIN,1404324196996,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Ronco, 5, 39057 Appiano Sulla Strada del Vino BZ",https://weindiele.com/media/image/product/9890/sm/niedrist-mitterberg-merlot-syrah-rose-igt.jpg
Bozen Kellerei Vino Parzialmente Dealcolato Rosa,"

12,60 €                                                
",1404324170026,"
5 - 10 Workdays

",Manufacturer,Kellerei Bozen,Rosé,353522,GTIN,1404324170026,Content‍,"
0,75 l",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,9 Vol. %,Manufacturer address‍,"Via San Maurizio, 36, 39100 Bolzano BZ",https://weindiele.com/media/image/product/9056/sm/de-rosewein-bozen-kellerei-teilweise-entalkoholisierter-wein-rosa.jpg
Lentsch Vigneti delle Dolomiti Rosé IGT,"

15,99 €                                                
",1404324163530,"
5 - 10 Workdays

",Manufacturer,H. Lentsch,Rosé,353222,GTIN,1404324163530,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Reichsstraße, 71, 39051 Branzoll, Südtirol",https://weindiele.com/media/image/product/8840/sm/lentsch-weinberg-dolomiten-rose-igt.jpg
Project XXX Vigneti delle Dolomiti Rosè IGT Tabu!?,"

29,00 €                                                
",1404324158772,"
5 - 10 Workdays

",Manufacturer,Kellerei Kaltern,Rosé,353074,GTIN,1404324158772,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Cantine 12, 39052 Caldaro BZ",https://weindiele.com/media/image/product/8725/sm/project-xxx-weinberg-dolomiten-rose-igt-tabu.jpg
Villscheiderhof Vigneti delle Dolomiti Rosè IGT with Screw Cap,"

10,50 €                                                
",,"
5 - 10 Workdays

",Manufacturer,Villscheiderhof,Rosé,352687,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Zweigelt",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"12,5 Vol. %",Manufacturer address‍,"Pian di Sotto, 13, 39042 Bressanone BZ",https://weindiele.com/media/image/product/8509/sm/villscheiderhof-weinberg-dolomiten-rose-igt-mit-drehverschluss.jpg
Stachlburg Alto Adige Pinot Nero Rosé DOC ORGANIC,"

15,00 €                                                
",,"
5 - 10 Workdays

",Manufacturer,Stachlburg,Rosé,350988,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Pinot Noir Rosè",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Bio-Zertifizierung‍,,Allergen information‍,Sulfites,Alcohol content‍,3 Vol. %,Manufacturer address‍,"Via Peter Mitterhofer, 2, 39020 Parcines BZ",https://weindiele.com/media/image/product/8276/sm/stachlburg-suedtiroler-blauburgunder-rose-doc-bio.jpg
Unterganzner Alto Adige Lagrein Kretzer DOC Spätgelesen,"

16,90 €                                                
",140432108043,"
5 - 10 Workdays

",Manufacturer,Unterganzner,Rosé,108043,GTIN,140432108043,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Campiglio, 15, 39100 Cardano BZ",https://weindiele.com/media/image/product/8179/sm/unterganzner-suedtiroler-lagrein-kretzer-doc-spaetgelesen.jpg
Manincor Vigneti delle Dolomiti Rosé IGT La Rose De Manincor ORGANIC,"

60,00 €                                                
",8032628633799,"
5 - 10 Workdays

",Manufacturer,Manincor  ,Rosé,326405,GTIN,8032628633799,Content‍,"
1,5 l",Vintage‍,"
2021",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Bio-certification‍,,Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"4 San Giuseppe al Lago, Caldaro 39052, Trentino-Südtirol",https://weindiele.com/media/image/product/7522/sm/manincor-weinberg-dolomiten-rose-igt-la-rose-de-manincor-bio-mit-hk.jpg
Kornell Merlot Rosé Merose,"

13,60 €                                                
",8051764561339,"
5 - 10 Workdays

",Manufacturer,Kornell,Rosé,350307,GTIN,8051764561339,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Merlot Rosé ",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"12,5 Vol. %",Manufacturer address‍,"Via Cosmas e Damiano, 6, 39018 Terlano BZ",https://weindiele.com/media/image/product/7301/sm/kornell-merlot-rose-merose.jpg
Tröpfltalhof Rosémarie Anphora ORGANIC,"

29,00 €                                                
",1404324000736,"
5 - 10 Workdays

",Manufacturer,Tröpfltalhof,Rosé,340463,GTIN,1404324000736,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Bio-Zertifizierung‍,,Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Via Garnellen, 17, 39052 Caldaro BZ",https://weindiele.com/media/image/product/7036/sm/troepfltalhof-rosemarie-anphora-bio.jpg
Himmelreich Mitterberg Rosé IGT Morgenrot,"

14,90 €                                                
",1404324005403,"
5 - 10 Workdays

",Manufacturer,Himmelreich-Hof,Rosé,291765,GTIN,1404324005403,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,Klostergasse 15a 39020 Kastelbell/Tschars,https://weindiele.com/media/image/product/6769/sm/himmelreich-mitterberg-rose-igt-morgenrot.jpg
